algorithm;database;config
aco_definitivo;abalone;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0.2, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;anneal;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0.2, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 5, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'backwards': False}
aco_definitivo;audiology;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 5, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;balance-scale;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;breast-cancer;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0.2, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;car-evaluation;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;cmc;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 5, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;credit;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;cylinder-bands;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
aco_definitivo;derm;{'encode': False, 'evaporation_rate': 0.05, 'intensification_factor': 1, 'alpha': 0.2, 'beta': 0, 'beta_evaporation_rate': 0.05, 'graph_strategy': 'mutual_info', 'use_initials': False, 'connections': 1, 'verbose': 0, 'ants': 2, 'iterations': 10, 'early_stopping': 4, 'seed': 200, 'update_strategy': 'all', 'final_selection': 'BEST', 'max_errors': 0, 'save_features': False, 'step': 3, 'backwards': False}
