dataset,custom_training_score,custom_test_score,categorical_training_score,categorical_test_score
abalone,0.2318622419888242,0.2303561935140882,0.23186224198882427,0.23030303030303026
adult,0.8395585324714577,0.8371869241793488,0.8395682821960281,0.8371982984144315
anneal,0.9401804670912951,0.9340740740740741,0.9428343949044586,0.9364197530864196
audiology,0.7919831223628694,0.6563725490196078,0.7694092827004219,0.6411764705882355
balance-scale,0.9137299771167048,0.9010638297872343,0.9136536994660567,0.9010638297872343
krkopt,0.3702038460885653,0.35997386242129026,0.3701070998183885,0.3598906973981229
iris,0.9126984126984128,0.8725925925925926,0.9126984126984128,0.8725925925925926
horse-colic,0.8858625162127108,0.7486486486486486,0.882360570687419,0.7555555555555553
glass,0.7651006711409398,0.6302564102564104,0.7639821029082775,0.6307692307692309
krkp,0.880733124720608,0.8756343413277718,0.8807182238116525,0.8755995828988529
mushroom,0.9526321960370502,0.9521602406343995,0.9526321960370502,0.9521602406343995
voting,0.905811403508772,0.9050890585241729,0.905811403508772,0.9050890585241729
credit,0.9113871635610765,0.8618357487922705,0.910697032436163,0.8626409017713365
pima,0.7854127870887647,0.7474747474747475,0.7854748603351955,0.7474747474747475
wine,0.9720430107526885,0.9382716049382717,0.9723118279569896,0.9388888888888889
wisconsin,0.9411222780569515,0.9358674463937621,0.9411222780569515,0.9358674463937621
car-evaluation,0.8250344637441412,0.8086705202312138,0.8246760408050732,0.8087347463070006
connect-4,0.7228671925112959,0.7222288007367937,0.722866487625734,0.7222419577659365
lenses,0.8416666666666667,0.5916666666666667,0.7979166666666667,0.6208333333333333
cmc,0.5494988684125443,0.5057315233785822,0.5494988684125445,0.5058823529411764
cylinder-bands,0.9126436781609196,0.750411522633745,0.9110521662245802,0.7502057613168724
derm,0.9940104166666667,0.9796969696969698,0.9940104166666667,0.9796969696969698
tictactoe,0.7195522388059702,0.703125,0.7197512437810946,0.7032407407407407
spam,0.8963664596273292,0.8832005792903692,0.89648033126294,0.8831040308954864
